index	sentence1	sentence2	label	combo	source NP
0	This is a powerful new microprocessor chip.	This is a powerful microprocessor chip.	2	sub-sub	a powerful new microprocessor chip
1	This is a powerful new microprocessor chip.	This is a microprocessor chip.	2	sub-sub	a powerful new microprocessor chip
2	This is a powerful new microprocessor chip.	This is a new microprocessor chip.	2	sub-sub	a powerful new microprocessor chip
3	This is good new products.	This is new products.	2	sub-sub	good new products
4	This is good new products.	This is products.	2	sub-sub	good new products
5	This is an expensive new stadium.	This is an new stadium.	2	sub-sub	an expensive new stadium
6	This is a plausible new product.	This is a plausible product.	2	pri-sub	a plausible new product
7	This is a proposed new company.	This is a new company.	0	pri-sub	a proposed new company
8	This is my favorite new movie.	This is my new movie.	0	sub-sub	my favorite new movie
9	This is my favorite new movie.	This is my movie.	0	sub-sub	my favorite new movie
10	This is the company 's first new car franchise.	This is the company 's first car franchise.	0	sub-sub	the company 's first new car franchise
11	This is its first new series.	This is its first series.	0	sub-sub	its first new series
12	This is the only new music.	This is the only music.	0	sub-sub	the only new music
13	This is a counterfeit new U.S. dollar.	This is a U.S. dollar.	0	pri-sub	a counterfeit new U.S. dollar
14	Those are counterfeit new U.S. dollars.	Those are new U.S. dollars.	0	pri-sub	counterfeit new U.S. dollars
15	Those are counterfeit new U.S. dollars.	Those are U.S. dollars.	0	pri-sub	counterfeit new U.S. dollars
16	This is an unlikely new weapon.	This is an unlikely weapon.	0	pri-sub	an unlikely new weapon
17	This is a powerful first shot.	This is the first shot.	2	sub-sub	a powerful first shot
18	This is a powerful first shot.	This is a powerful shot.	2	sub-sub	a powerful first shot
19	This is An erroneous first name.	This is a name.	2	pri-sub	An erroneous first name
20	This is a plausible first strike.	This is a plausible strike.	2	pri-sub	a plausible first strike
21	This is a likely first step.	This is the first step.	0	pri-sub	a likely first step
22	This is her first real job.	This is her first job.	0	sub-int	her first real job
23	This is a plastic toy car.	This is a toy car.	2	pri-pri	a plastic toy car
24	This is a big toy box.	This is a big box.	2	sub-pri	a big toy box
25	This is a big toy gun.	This is a toy gun.	2	sub-pri	a big toy gun
26	This is a wooden toy train.	This is a toy train.	2	pri-pri	a wooden toy train
27	This is a 19th-century wooden toy train.	This is a 19th-century train.	0	pri-pri	a 19th-century wooden toy train
28	This is an expensive toy car.	This is an expensive car.	0	sub-pri	an expensive toy car
29	This is its plastic little human.	This is its plastic human.	2	pri-sub	its plastic little human
30	This is a depressed doctoral student.	This is a doctoral student.	2	int-int	a depressed doctoral student
31	This is an extinct ancient animal.	This is an ancient animal.	2	int-sub	an extinct ancient animal
32	This is an experimental temporary dwellings.	This is an experimental dwellings.	2	pri-pri	an experimental temporary dwellings
33	This is an experimental temporary solution.	This is a solution.	2	pri-pri	an experimental temporary solution
34	These are maximum six-week temporary layoffs.	These are maximum six-week layoffs.	2	sub-pri	maximum six-week temporary layoffs
35	This file is a historic temporary constitution.	This file is a historic constitution.	2	pri-pri	a historic temporary constitution
36	This is a likely temporary solution.	This is a solution.	0	pri-pri	a likely temporary solution
37	This is a likely temporary destination.	This is a temporary destination.	0	pri-pri	a likely temporary destination
38	This is a likely temporary destination.	This is a destination.	0	pri-pri	a likely temporary destination
39	This is a suspicious temporary license plate.	This is a temporary license plate.	0	pri-pri	a suspicious temporary license plate
40	This is a false temporary Ukrainian passport.	This is a temporary Ukrainian passport.	0	pri-pri	a false temporary Ukrainian passport
41	This is a false temporary Ukrainian passport.	This is a Ukrainian passport.	0	pri-pri	a false temporary Ukrainian passport
42	This is an experimental alternative energy source.	This is an experimental energy source.	2	pri-sub	an experimental alternative energy source
43	This is an experimental artificial heart.	This is a heart.	0	pri-pri	an experimental artificial heart
44	This is a faulty artificial joint.	This is an artificial joint.	2	pri-pri	a faulty artificial joint
45	This is a single artificial white rose.	This is an artificial white rose.	2	int-pri	a single artificial white rose
46	This is the so-called artificial intelligence.	This is the artificial intelligence.	0	pri-pri	the so-called artificial intelligence
47	He is a chief online rival.	He is a rival.	2	sub-int	a chief online rival
48	He is a chief online rival.	He is an online rival.	2	sub-int	a chief online rival
49	This is a chief online rival.	This is an online rival.	2	sub-int	a chief online rival
50	This is a chief internal investigator.	This is an internal investigator.	2	sub-int	a chief internal investigator
51	This is a chief external spokesman.	This is a spokesman.	2	sub-int	a chief external spokesman
52	This is a predicted hot condition.	This is a condition.	2	pri-sub	a predicted hot condition
53	This is a predicted hot condition.	This is a predicted condition.	2	pri-sub	a predicted hot condition
54	This is predicted fast economic growth.	This is predicted economic growth.	2	pri-sub	predicted fast economic growth
55	This is the predicted global economic turbulence.	This is the predicted economic turbulence.	2	pri-sub	the predicted global economic turbulence
56	This is the predicted global economic turbulence.	This is the global economic turbulence.	0	pri-sub	the predicted global economic turbulence
57	This is a partial global population collapse.	This is a partial population collapse.	2	pri-sub	a partial global population collapse
58	This is the predicted annual economic growth.	This is the annual economic growth.	0	pri-sub	the predicted annual economic growth
59	This is the predicted annual economic growth.	This is the annual economic growth.	0	pri-sub	the predicted annual economic growth
