index	sentence1	sentence2	label	combo	source NP
0	This is a powerful new microprocessor chip.	This is a powerful microprocessor chip.	2	sub-sub	a powerful new microprocessor chip
1	This is a powerful new microprocessor chip.	This is a microprocessor chip.	2	sub-sub	a powerful new microprocessor chip
2	This is a powerful new microprocessor chip.	This is a new microprocessor chip.	2	sub-sub	a powerful new microprocessor chip
3	This is good new products.	This is new products.	2	sub-sub	good new products
4	This is good new products.	This is products.	2	sub-sub	good new products
5	This is an expensive new stadium.	This is an new stadium.	2	sub-sub	an expensive new stadium
6	This is a plausible new product.	This is a plausible product.	2	pri-sub	a plausible new product
7	This is a proposed new company.	This is a new company.	0	pri-sub	a proposed new company
8	This is my favorite new movie.	This is my new movie.	0	sub-sub	my favorite new movie
9	This is my favorite new movie.	This is my movie.	0	sub-sub	my favorite new movie
10	This is the company 's first new car franchise.	This is the company 's first car franchise.	0	sub-sub	the company 's first new car franchise
11	This is its first new series.	This is its first series.	0	sub-sub	its first new series
12	This is the only new music.	This is the only music.	0	sub-sub	the only new music
13	This is a counterfeit new U.S. dollar.	This is a U.S. dollar.	0	pri-sub	a counterfeit new U.S. dollar
14	Those are counterfeit new U.S. dollars.	Those are new U.S. dollars.	0	pri-sub	counterfeit new U.S. dollars
15	Those are counterfeit new U.S. dollars.	Those are U.S. dollars.	0	pri-sub	counterfeit new U.S. dollars
16	This is an unlikely new weapon.	This is an unlikely weapon.	0	pri-sub	an unlikely new weapon
17	This is a powerful first shot.	This is the first shot.	2	sub-sub	a powerful first shot
18	This is a powerful first shot.	This is a powerful shot.	2	sub-sub	a powerful first shot
19	This is An erroneous first name.	This is a name.	2	pri-sub	An erroneous first name
20	This is a plausible first strike.	This is a plausible strike.	2	pri-sub	a plausible first strike
21	This is a likely first step.	This is the first step.	0	pri-sub	a likely first step
22	This is her first real job.	This is her first job.	0	sub-int	her first real job
23	This is a plastic toy car.	This is a toy car.	2	pri-pri	a plastic toy car
24	This is a big toy box.	This is a big box.	2	sub-pri	a big toy box
